ID;Correct_Word;Error_Word;Damerau-Lenventein_Distance;Correct_Word_Freq;Error_Word_ Freq;Correct_Word_Lenght;Error_Word_Lenght;Error_postion;Syllable_Error_position;Correct-word-syllables;correct_syllable;Error_Type;Real_World_Error;First-Letter;Last-Letter;Correct_Letter;Error_Letter;Mirror_correct_letter;Mirror_error_letter;Rotation_correct_letter;Rotation_error_letter;Fuzzy_correct_letters;Fuzzy_error_letter;Error_Phonetic_Feature;;;;;;;;;;;;;;;;;;;;;
47;verkôrzt;verkôrtzt;1;4.300.000;13.4;8;9;7;2;2;CVCCC;addition;NO;NO;NO;-;t;N;N;N;N;N;N;sound_sequence;;;;;;;;;;;;;;;;;;;;;
48;finanziell;Finanziell;1;13.000.000;13.000.000;11;11;1;1;1;CV;no_capital_letter;NO;YES;NO;f;F;N;N;N;N;N;N;sound_distinction;;;;;;;;;;;;;;;;1;;;;;
49;haushalten;Haushalten;1;2.490.000;2.490.000;10;10;1;1;1;CVCC;no_capital_letter;NO;YES;NO;h;H;N;Y;Y;Y;Y;N;sound_distinction;;;;;;;;;;;;;;;;;;;;;
50;w_re;w_hre;1;146.000.000;601;4;5;3;"2;3";"2;3";CVCV;addition;YES;NO;NO;-;h;N;N;N;Y;N;Y;lengthening;;;;;;;;;;;;;;;;;;;;;
51;schnell;schnel;1;185.000.000;422;7;6;6;1;1;CCCCVCC;omission;NO;NO;YES;l;-;N;N;N;N;N;N;double_consonant;;;;;;;;;;;;;;;;;;;;;
52;springen;sbringen;1;27.300.000;1.98;8;8;2;1;1;CCCVC;substitution;NO;NO;NO;p;b;Y;Y;Y;Y;Y;Y;sound_distinction;;;;;;;;;;;;;;;;;;;;;
53;liebt;lipt;2;24.500.000;19.3;5;4;-;-;-;-;multierror;NO;NO;NO;"e;b";p;"N;Y";Y;"N;Y";Y;"N;Y";Y;lengthening;;;;;;;;;;;;;;;;;;;;;
54;liebt;liept;1;24.500.000;4.74;5;5;4;2;1;CVVCC;substitution;NO;NO;NO;b;p;Y;Y;Y;Y;Y;Y;sound_distinction;;;;;;;;;;;;;;;;;;;;;
55;liebt;libt;1;24.500.000;75.3;5;4;3;2;1;CVVCC;omission;NO;NO;NO;e;-;N;N;N;N;N;N;lengthening;;;;;;;;;;;;;;;;;;;;;
56;rennt;rend;2;1.050.000;19.300.000;5;4;-;-;-;-;multierror;NO;NO;NO;"n;t";d;"Y;N";Y;"N;N";Y;"Y;N";Y;double_consonant;;;;;;;;;;;;;;;;;;;;;
57;rennt;rennd;1;1.050.000;5.24;5;5;5;2;2;CVCCC;substitution;NO;NO;NO;t;d;N;Y;N;Y;N;Y;sound_distinction;;;;;;;;;;;;;;;;;;;;;
58;rennt;rent;1;1.050.000;30.600.000;5;4;3;2;2;CVCCC;omission;NO;NO;NO;n;-;Y;N;N;N;Y;N;double_consonant;;;;;;;;;;;;;;;;;;;;;
59;f_hrt;fert;2;24.000.000;413;5;4;-;-;-;-;multierror;NO;NO;NO;"_;h";e;"N;N";N;"N;Y";N;"Y;Y";N;"derivation;lengthening";;;;;;;;;;;;;;;;;;;;;
60;f_hrt;fehrt;1;24.000.000;21;5;5;2;1;1;CVC;substitution;NO;NO;NO;_;e;N;N;N;N;Y;N;derivation;;;;;;;;;;;;;;;;;;;;;
61;f_hrt;f_rt;1;24.000.000;31.4;5;4;3;1;1;CVC;omission;NO;NO;NO;h;-;N;N;Y;N;Y;N;lengthening;;;;;;;;;;;;;;;;;;;;;
62;viel;fiel;1;296.000.000;68.200.000;4;4;1;1;1;CVVC;substitution;YES;YES;NO;v;f;Y;N;N;N;Y;N;v_word;;;;;;;;;;;;;;;;;;;;;
63;schwingen;Schwingen;1;4.190.000;4.190.000;9;9;1;1;1;CCCCVC;no_capital_letter;YES;YES;NO;s;S;N;N;N;N;N;N;sound_distinction;;;;;;;;;;;;;;;;;;;;;
64;backt;bekt;2;589;13.1;5;4;-;-;-;-;multierror;NO;NO;NO;"a;c";e;"N;N";N;"N;N";N;"Y;N";N;sound_distinction;;;;;;;;;;;;;;;;;;;;;
65;backt;beckt;1;589;2.97;5;5;1;1;1;CV;substitution;NO;NO;NO;a;e;N;N;N;N;Y;N;sound_distinction;;;;;;;;;;;;;;;;;;;;;
66;backt;bakt;1;589;95.3;5;4;3;2;2;CCC;omission;NO;NO;NO;c;-;N;N;N;N;N;N;sound_distinction;;;;;;;;;;;;;;;;;;;;;
67;Vogelfutter;vogel futer;3;507;507;11;11;-;-;-;-;multierror;NO;YES;NO;"V;/;t";"v;_";"N;N;N";"Y;N";"N;N;N";"N;N";"N;N;N";"Y;N";sound_distinction;;;;;;;;;;;;;;;;;;;;;
68;Vogelfutter;vogelfutter;1;507;507;11;11;1;1;1;CV;capital_letter;NO;YES;NO;V;v;N;Y;N;N;N;Y;sound_distinction;;;;;;;;;;;;;;;;;;;;;
69;Vogelfutter;Vogel futter;1;507;20.5;11;12;-;-;-;-;split_in;NO ;NO;NO;/;_;N;N;N;N;N;N;sound_distinction;;;;;;;;;;;;;;;;;;;;;
70;Vogelfutter;Vogelfuter;1;507;447;11;10;8;3;3;CVC;omission;NO;NO;NO;t;-;N;N;N;N;N;N;double_consonant;;;;;;;;;;;;;;;;;;;;;
71;trinkt;tringt;1;4.380.000;9.81;6;6;5;2;2;CC;substitution;NO;NO;NO;k;g;N;N;N;Y;N;Y;derivation;;;;;;;;;;;;;;;;;;;;;
72;vertragen;vertagen;1;4.830.000;224;9;8;5;2;2;CCV;omission;YES;NO;NO;r;-;N;N;N;N;N;N;sound_distinction;;;;;;;;;;;;;;;;;;;;;
73;Klassenvertrag;Klassen fertrag;2;2.04;2.04;14;15;-;-;-;-;multierror;NO;NO;NO;"v;/";"_;f";"Y;N";"N;N";"N;N";"N;N";"Y;N";"N;N";v_word;;;;;;;;;;;;;;;;;;;;;
74;Klassenvertrag;Klassen vertrag;1;2.04;150;14;15;-;-;-;-;split_in;NO;NO;NO;/;_;N;N;N;N;N;N;sound_distinction;;;;;;;;;;;;;;;;;;;;;
75;Klassenvertrag;Klassenfertrag;1;2.04;0;14;14;8;3;3;CVC;substitution;NO;NO;NO;v;f;Y;N;N;N;Y;N;v_word;;;;;;;;;;;;;;;;;;;;;
76;Verk_uferin;ferkeufein;3;763;0;11;10;-;-;-;-;multierror;NO;YES;NO;"V;_;r";"f;e";"N;N;N";"N;N";"N;N;N";"N;N";"N;Y;N";"N;N";"v_word;sound_distinction";;;;;;;;;;;;;;;;;;;;;
77;Verk_uferin;Ferk_uferin;1;763;860;11;11;1;1;1;CVC;substitution;NO;YES;NO;V;F;N;N;N;N;N;N;v_word;;;;;;;;;;;;;;;;;;;;;
78;Verk_uferin;verk_uferin;1;763;763;11;11;1;1;1;CVC;capital_letter;NO;YES;NO;V;v;N;Y;N;N;N;Y;sound_distinction;;;;;;;;;;;;;;;;;;;;;
79;Verk_uferin;Verkeuferin;1;763;2.25;11;11;5;2;2;CVV;substitution;NO;NO;NO;_;e;N;N;N;N;Y;N;derivation;;;;;;;;;;;;;;;;;;;;;
80;Verk_uferin;Verk_ufein;1;763;972;11;10;9;4;4;CVC;omission;NO;NO;NO;r;-;N;N;N;N;N;N;sound_distinction;;;;;;;;;;;;;;;;;;;;;
81;Spinne;Spine;1;570;512;6;5;4;1;1;CCVC;omission;NO;NO;NO;n;-;Y;N;N;N;Y;N;double_consonant;;;;;;;;;;;;;;;;;;;;;
82;rutscht;rutst;2;2.030.000;688;7;5;-;-;-;-;multierror;NO;NO;NO;"s;c";-;"N;N";N;"N;N";N;"N;N";N;"sound_distinction;consonants_combination";;;;;;;;;;;;;;;;;;;;;
83;rutscht;rutsht;1;2.030.000;59;7;6;5;2;2;CCCC;omission;NO;NO;NO;c;-;N;N;N;N;N;N;"sound_distinction;consonants_combination";;;;;;;;;;;;;;;;;;;;;
84;rutscht;rutsct;1;2.030.000;615;7;6;6;2;2;CCCC;omission;NO;NO;NO;h;-;N;N;Y;N;Y;N;"sound_distinction;consonants_combination";;;;;;;;;;;;;;;;;;;;;
85;schlank;slank;2;10.600.000;309;7;5;-;-;-;-;multierror;NO;NO;NO;"c;h";-;"N;N";N;"N;Y";N;"N;Y";N;"sound_distinction;consonants_combination";;;;;;;;;;;;;;;;;;;;;
86;schlank;shlank;1;10.600.000;780;7;6;2;1;1;CCCCVCC;omission;NO;NO;NO;c;-;N;N;N;N;N;N;"sound_distinction;consonants_combination";;;;;;;;;;;;;;;;;;;;;
87;schlank;sclank;1;10.600.000;1.73;7;6;3;1;1;CCCCVCC;omission;NO;NO;NO;h;-;N;N;Y;N;Y;N;"sound_distinction;consonants_combination";;;;;;;;;;;;;;;;;;;;;
88;kratzt;kratst;1;442;355;6;6;5;1;1;CCVCCC;substitution;NO;NO;NO;z;s;N;N;N;N;N;N;sound_distinction;;;;;;;;;;;;;;;;;;;;;
89;versprochen;fersbrochen;2;7.920.000;30;11;11;-;-;-;-;multierror;NO;YES;NO;"v;p";"f;b";"Y;Y";"N;Y";"N;Y";"N;Y";"Y;Y";"N;Y";"v_word;sound_distinction";;;;;;;;;;;;;;;;;;;;;
90;versprochen;fersprochen;1;7.920.000;1.48;11;11;1;1;1;CVC;substitution;NO;YES;NO;v;f;Y;N;N;N;Y;N;v_word;;;;;;;;;;;;;;;;;;;;;
91;versprochen;versbrochen;1;7.920.000;240;11;11;5;2;2;CCCV;substitution;NO;NO;NO;p;b;Y;Y;Y;Y;Y;Y;sound_distinction;;;;;;;;;;;;;;;;;;;;;
92;versteht;ferstet;2;26.100.000;1.53;8;7;-;-;-;-;multierror;NO;YES;NO;"v;h";f;"Y;N";N;"N;Y";N;"Y;Y";N;v_word;;;;;;;;;;;;;;;;;;;;;
93;versteht;fersteht;1;26.100.000;2.37;8;8;1;1;1;CVC;substitution;NO;YES;NO;v;f;Y;N;N;N;Y;N;v_word;;;;;;;;;;;;;;;;;;;;;
94;versteht;verstet;1;26.100.000;13.2;8;7;7;3;3;CVC;omission;NO;YES;NO;h;-;N;N;Y;N;Y;N;lengthening;;;;;;;;;;;;;;;;;;;;;
95;klatscht;klatst;2;428;231;8;6;-;-;-;-;multierror;NO;NO;NO;"c;h";-;"N;N";N;"N;Y";N;"N;Y";N;consonants_combination;;;;;;;;;;;;;;;;;;;;;
96;klatscht;klatsht;1;428;107;8;7;6;2;2;CCCVC;omission;NO;NO;NO;c;-;N;N;N;N;N;N;consonants_combination;;;;;;;;;;;;;;;;;;;;;
97;klatscht;klatsct;1;428;76;8;7;7;2;2;CCCVC;omission;NO;NO;NO;h;-;N;N;Y;N;Y;N;consonants_combination;;;;;;;;;;;;;;;;;;;;;
98;Speck;Spek;1;11.300.000;356;5;4;4;1;1;CCVCC;omission;NO;NO;NO;c;-;N;N;N;N;N;N;double_consonant;;;;;;;;;;;;;;;;;;;;;
99;Fr_ulein;freulein;2;619;37.5;8;8;-;-;-;-;multierror;NO;YES;NO;"F;_";"f;e";"N;N";"N;N";"N;N";"N;N";"N;Y";"N;N";sound_distinction;;;;;;;;;;;;;;;;;;;;;
100;Fr_ulein;fr_ulein;1;619;619;8;8;1;1;1;CCVV;capital_letter;NO;YES;NO;F;f;N;N;N;N;N;N;sound_distinction;;;;;;;;;;;;;;;;;;;;;
101;Fr_ulein;Freulein;1;619;37.5;8;8;3;1;1;CCVV;substitution;NO;NO;NO;_;e;N;N;N;N;Y;N;derivation;;;;;;;;;;;;;;;;;;;;;
102;Quadrat;Kwadrat;2;9.520.000;37.9;7;7;-;-;-;-;multierror;NO;YES;NO;"Q;u";"K;w";"N;Y";"N;Y";"N;N";"N;N";"N;Y";"N;Y";sound_distinction;;;;;;;;;;;;;;;;;;;;;
103;Quadrat;Kuadrat;1;9.520.000;3.38;7;7;1;1;1;CVV;substitution;NO;YES;NO;Q;K;N;N;N;N;N;N;sound_distinction;;;;;;;;;;;;;;;;;;;;;
104;Quadrat;Qwadrat;1;9.520.000;928;7;7;2;1;1;CVV;substitution;NO;NO;NO;u;w;Y;Y;N;N;Y;Y;sound_distinction;;;;;;;;;;;;;;;;;;;;;
105;krallt;kralt;1;164;10.2;6;5;4;1;1;CCVC;omission;NO;NO;NO;l;-;N;N;N;N;N;N;double_consonant;;;;;;;;;;;;;;;;;;;;;
106;blank;Blang;2;22.200.000;50.3;5;5;-;-;-;-;multierror;NO;YES;YES;"b;g";"B;g";"Y;N";"N;N";"Y;Y";"N;Y";"Y;Y";"N;Y";sound_distinction;;;;;;;;;;;;;;;;;;;;;
107;blank;Blank;1;22.200.000;22.200.000;5;5;1;1;1;CCVCC;capital_letter;NO;YES;NO;b;B;Y;N;Y;N;Y;N;sound_distinction;;;;;;;;;;;;;;;;;;;;;
108;blank;blang;1;22.200.000;50.3;5;5;5;1;1;CCVCC;substitution;NO;NO;YES;k;g;N;N;N;Y;N;Y;sound_distinction;;;;;;;;;;;;;;;;;;;;;
109;st_rkt;sherkt;2;5.050.000;450;6;6;-;-;-;-;multierror;NO;NO;NO;"t;_";"h;e";"N;N";"N;N";"N;N";"Y;N";"N;Y";"Y;N";sound_distinction;;;;;;;;;;;;;;;;;;;;;
110;st_rkt;sh_rkt;1;5.050.000;2;6;6;2;1;1;CCVC;substitution;NO;NO;NO;t;h;N;N;N;Y;N;Y;sound_distinction;;;;;;;;;;;;;;;;;;;;;
111;st_rkt;sterkt;1;5.050.000;16.9;6;6;3;1;1;CCVC;substitution;NO;NO;NO;_;e;N;N;N;N;Y;N;derivation;;;;;;;;;;;;;;;;;;;;;
112;behandelt;Behandelt;1;30.800.000;30.800.000;9;9;1;1;1;CV;no_capital_letter;NO;YES;NO;b;B;Y;N;Y;N;Y;N;sound_distinction;;;;;;;;;;;;;;;;;;;;;
113;bôcken;Bôken;2;436;8.34;6;5;-;-;-;-;multierror;NO;YES;NO;"b;c";B;"Y;N";N;"Y;N";N;"Y;N";N;sound_distinction;;;;;;;;;;;;;;;;;;;;;
114;bôcken;Bôcken;1;436;437;6;6;1;1;1;CV;no_capital_letter;YES;YES;NO;b;B;Y;N;Y;N;Y;N;sound_distinction;;;;;;;;;;;;;;;;;;;;;
115;bôcken;bôken;1;436;8.34;6;5;3;2;2;CCVC;omission;NO;NO;NO;c;-;N;N;N;N;N;N;double_consonant;;;;;;;;;;;;;;;;;;;;;
116;feucht;Feucht;1;8.770.000;8.770.000;6;6;1;1;1;CVCCCC;no_capital_letter;NO;YES;NO;f;F;N;N;N;N;N;N;sound_distinction;;;;;;;;;;;;;;;;;;;;;
117;W_lder;Welder;1;5.510.000;434;6;6;2;1;1;CVCCVC;substitution;NO;NO;NO;_;e;N;N;N;N;Y;N;derivation;;;;;;;;;;;;;;;;;;;;;
118;zwischen;Zwischen;1;265.000.000;265.000.000;8;8;1;1;1;CCV;no_capital_letter;NO;YES;NO;z;Z;N;N;N;N;N;N;sound_distinction;;;;;;;;;;;;;;;;;;;;;
119;springt;Springt;1;11.200.000;11.200.000;7;7;1;1;1;CCCVC;no_capital_letter;NO;YES;NO;s;S;N;N;N;N;N;N;sound_distinction;;;;;;;;;;;;;;;;;;;;;
120;Kartoffeln;Kattofeln;2;11.000.000;298;10;9;-;-;-;-;multierror;NO;NO;NO;r;t;N;N;N;N;N;N;double_consonant;;;;;;;;;;;;;;;;;;;;;
121;Kartoffeln;Katoffeln;1;11.000.000;8.35;10;9;3;1;1;CVC;omission;NO;NO;NO;r;-;N;N;N;N;N;N;sound_distinction;;;;;;;;;;;;;;;;;;;;;
122;Kartoffeln;Karttoffeln;1;11.000.000;805;10;11;4;2;2;CVC;addition;NO;NO;NO;-;t;N;N;N;N;N;N;sound_sequence;;;;;;;;;;;;;;;;;;;;;
123;spucken;Spugken;2;451;451;7;7;-;-;-;-;multierror;NO;YES;NO;"s;c";"S;g";"N;N";"N;N";"N;N";"N;Y";"N;N";"N;Y";sound_distinction;;;;;;;;;;;;;;;;;;;;;
124;spucken;Spucken;1;451;451;7;7;1;1;1;CCV;no_capital_letter;Yes;YES;NO;s;S;N;N;N;N;N;N;sound_distinction;;;;;;;;;;;;;;;;;;;;;
125;spucken;spugken;1;451;451;7;7;4;2;2;CCVC;substitution;NO;NO;NO;c;g;N;N;N;Y;N;Y;sound_distinction;;;;;;;;;;;;;;;;;;;;;
126;Strumpf;Strumf;1;414;2.56;7;6;6;1;1;CCCVCCC;omission;NO;NO;NO;p;-;Y;N;Y;N;Y;N;sound_distinction;;;;;;;;;;;;;;;;;;;;;
127;Stricknadel;Striknadel;1;184;358;11;10;5;1;1;CCCVCC;omission;NO;NO;NO;c;-;N;N;N;N;N;N;double_consonant;;;;;;;;;;;;;;;;;;;;;
128;erkannt;Erkant;2;17.900.000;52.3;7;6;-;-;-;-;multierror;NO;YES;NO;"e;n";E;"N;Y";N;"N;N";N;"N;Y";N;"sound_distinction;sound_distinction";;;;;;;;;;;;;;;;;;;;;
129;erkannt;Erkannt;1;17.900.000;17.900.000;7;7;1;1;1;VC;no_capital_letter;NO;YES;NO;e;E;N;N;N;N;N;N;sound_distinction;;;;;;;;;;;;;;;;;;;;;
130;erkannt;erkant;1;17.900.000;52.3;7;6;5;2;2;CVCCC;omission;NO;NO;NO;n;-;Y;N;N;N;Y;N;double_consonant;;;;;;;;;;;;;;;;;;;;;
131;k_lter;Kelter;2;1.920.000;406;6;6;-;-;-;-;multierror;YES;YES;NO;"k;_";"K;e";"N;N";"N;N";"N;N";"N;N";"N;Y";"N;N";sound_distinction;;;;;;;;;;;;;;;;;;;;;
132;k_lter;K_lter;1;1.920.000;1.920.000;6;6;1;1;1;CVCCVC;no_capital_letter;NO;YES;NO;k;K;N;N;N;N;N;N;sound_distinction;;;;;;;;;;;;;;;;;;;;;
133;k_lter;kelter;1;1.920.000;406;6;6;2;1;1;CVCCVC;substitution;NO;NO;NO;_;e;N;N;N;N;Y;N;derivation;;;;;;;;;;;;;;;;;;;;;
134;schluckt;Schlukt;2;790;2.88;8;7;-;-;-;-;multierror;NO;YES;NO;"s;c";S;"N;N";N;"N;N";N;"N;N";N;"sound_distinction;derivation";;;;;;;;;;;;;;;;;;;;;
